,name,pos,team,url
272,Marcus Mariota,QB,TEN,https://www.fantasypros.com/nfl/games/marcus-mariota.php
273,Rhett Ellison,TE,NYG,https://www.fantasypros.com/nfl/games/rhett-ellison.php
274,Trey Burton,TE,CHI,https://www.fantasypros.com/nfl/games/trey-burton.php
275,Josh Hill,TE,NO,https://www.fantasypros.com/nfl/games/josh-hill-te.php
276,Jeff Heuerman,TE,DEN,https://www.fantasypros.com/nfl/games/jeff-heuerman.php
277,Devontae Booker,RB,DEN,https://www.fantasypros.com/nfl/games/devontae-booker.php
278,Chris Conley,WR,KC,https://www.fantasypros.com/nfl/games/chris-conley.php
279,Torrey Smith,WR,CAR,https://www.fantasypros.com/nfl/games/torrey-smith.php
280,Andre Holmes,WR,BUF,https://www.fantasypros.com/nfl/games/andre-holmes.php
281,Anthony Miller,WR,CHI,https://www.fantasypros.com/nfl/games/anthony-miller.php
282,Donte Moncrief,WR,JAC,https://www.fantasypros.com/nfl/games/donte-moncrief.php
283,Lance Kendricks,TE,GB,https://www.fantasypros.com/nfl/games/lance-kendricks.php
284,David Njoku,TE,CLE,https://www.fantasypros.com/nfl/games/david-njoku.php
285,Erik Swoope,TE,IND,https://www.fantasypros.com/nfl/games/erik-swoope.php
286,Tyler Ervin,RB,BAL,https://www.fantasypros.com/nfl/games/tyler-ervin.php
287,Darren Fells,TE,CLE,https://www.fantasypros.com/nfl/games/darren-fells.php
288,Jonnu Smith,TE,TEN,https://www.fantasypros.com/nfl/games/jonnu-smith.php
289,Mike Gesicki,TE,MIA,https://www.fantasypros.com/nfl/games/mike-gesicki.php
290,Seth Roberts,WR,OAK,https://www.fantasypros.com/nfl/games/seth-roberts.php
291,Chris Hogan,WR,NE,https://www.fantasypros.com/nfl/games/chris-hogan.php
292,Nick Vannett,TE,SEA,https://www.fantasypros.com/nfl/games/nick-vannett.php
293,Jordan Akins,TE,HOU,https://www.fantasypros.com/nfl/games/jordan-akins.php
294,Josh Doctson,WR,WAS,https://www.fantasypros.com/nfl/games/josh-doctson.php
295,DeAndre Carter,WR,HOU,https://www.fantasypros.com/nfl/games/deandre-carter.php
